frequency,reference_power,fno_power,deeponet_power,fno_error_power,deeponet_error_power
34,0.046165530878037236,0.04135649182117541,0.05180102646085867,0.042903744155808686,0.05212605556040428
35,0.04520478160193894,0.03828139132496975,0.0498376640229366,0.042999024131265516,0.05001175621067156
36,0.040697936397450854,0.033477486529671724,0.04689145689212772,0.038938078629065245,0.04524801169895977
37,0.03828893887962637,0.0317245221602877,0.044749598030225206,0.038481870508077484,0.044375502533165856
38,0.035370484984559594,0.026490624280598812,0.040678957915767755,0.032998264626128655,0.040413150497441264
39,0.032008535824313594,0.024779754459826223,0.04052403082584198,0.03196861872276049,0.04042375521236554
40,0.03218266029046507,0.023767541429395873,0.03840407003330238,0.030538277821654625,0.04101106042390759
41,0.02925486773785416,0.020883573258676152,0.0368183170660269,0.028931952135932942,0.039013550545668754
42,0.028229809483306802,0.020191538352536374,0.035972986714133584,0.029693253449135232,0.03853662096144568
43,0.02575851548748835,0.01788980368128456,0.03238496212382971,0.027504861232167433,0.03615706774686256
44,0.026195217928176077,0.017721009651927157,0.03317937603432815,0.02704699237009113,0.035926162491433086
45,0.02413026165973101,0.01630758290723511,0.03202480292538779,0.0258406110287038,0.034434987312246215
46,0.02187270396550626,0.014568035882638762,0.03150128721619947,0.022311392866993383,0.03563970097022248
47,0.020147946769400862,0.013504654294154516,0.029592069072062802,0.020963556534028597,0.032315271348280813
48,0.019381422584398292,0.013100418609070526,0.028784794664803243,0.02019457514179081,0.031620456119041095
49,0.018693928050917626,0.01288977108652758,0.028271487618301,0.020328877370264044,0.031639426203659116
50,0.01720671144736376,0.012349160441829666,0.027050753502389828,0.01965350192160496,0.030204416947224654
51,0.016724981745188616,0.011731015261750884,0.027765172857899985,0.017835958377835838,0.030846283960584614
52,0.016401644968272455,0.01098187379568893,0.027607226018602493,0.01694445959763976,0.03085168691211767
53,0.01472116527738287,0.01038391065893568,0.02630197598177064,0.016147990565125028,0.02925837657060828
54,0.014806151340231909,0.010408009370494626,0.026256802095087694,0.015606455416451531,0.030486220250727492
55,0.013507603108308227,0.009966339273001681,0.02480959431145531,0.014616349709481297,0.02842197101811953
56,0.01360070210470963,0.00933782422571465,0.02536121394871205,0.015510939127442978,0.028453726505194496
